,symbol,metric,value
375,AMCR,Avg. Volume,"8,374,561 "
376,AMCR,Market Cap (intraday),14.468B 
377,AMCR,Beta (5Y Monthly),0.87
378,AMCR,PE Ratio (TTM),22.24 
379,AMCR,EPS (TTM),0.45 
380,AMCR,Earnings Date,"Aug 14, 2024 - Aug 19, 2024"
381,AMCR,Forward Dividend & Yield,0.50 (5.00%)
382,AMCR,Ex-Dividend Date,"May 21, 2024"
383,AMCR,1y Target Est,9.83 
384,AEE,Previous Close,71.07 
385,AEE,Open,71.16 
386,AEE,Bid,--
387,AEE,Ask,--
388,AEE,Day's Range,70.82 - 71.81 
389,AEE,52 Week Range,67.03 - 88.72 
390,AEE,Volume,"1,121,069 "
391,AEE,Avg. Volume,"1,610,131 "
392,AEE,Market Cap (intraday),19.067B 
393,AEE,Beta (5Y Monthly),0.46
394,AEE,PE Ratio (TTM),16.40 
395,AEE,EPS (TTM),4.36 
396,AEE,Earnings Date,"Jul 31, 2024 - Aug 5, 2024"
397,AEE,Forward Dividend & Yield,2.68 (3.75%)
398,AEE,Ex-Dividend Date,"Jun 12, 2024"
399,AEE,1y Target Est,77.28 
400,AAL,Previous Close,11.49 
401,AAL,Open,11.41 
402,AAL,Bid,11.35 x 2800
403,AAL,Ask,11.37 x 200
404,AAL,Day's Range,11.33 - 11.45 
405,AAL,52 Week Range,10.86 - 19.08 
406,AAL,Volume,"5,149,109 "
407,AAL,Avg. Volume,"33,141,603 "
408,AAL,Market Cap (intraday),7.456B 
409,AAL,Beta (5Y Monthly),1.50
410,AAL,PE Ratio (TTM),16.01 
411,AAL,EPS (TTM),0.71 
412,AAL,Earnings Date,"Jul 18, 2024 - Jul 22, 2024"
413,AAL,Forward Dividend & Yield,--
414,AAL,Ex-Dividend Date,"Feb 4, 2020"
415,AAL,1y Target Est,15.46 
416,AEP,Previous Close,88.55 
417,AEP,Open,88.01 
418,AEP,Bid,87.74 x 200
419,AEP,Ask,87.98 x 300
420,AEP,Day's Range,87.53 - 88.12 
421,AEP,52 Week Range,69.38 - 93.44 
422,AEP,Volume,"423,469 "
423,AEP,Avg. Volume,"2,941,163 "
424,AEP,Market Cap (intraday),46.306B 
425,AEP,Beta (5Y Monthly),0.53
426,AEP,PE Ratio (TTM),16.36 
427,AEP,EPS (TTM),5.37 
428,AEP,Earnings Date,"Jul 25, 2024 - Jul 29, 2024"
429,AEP,Forward Dividend & Yield,3.52 (3.98%)
430,AEP,Ex-Dividend Date,"May 9, 2024"
431,AEP,1y Target Est,90.11 
432,AXP,Previous Close,232.44 
433,AXP,Open,231.64 
434,AXP,Bid,226.32 x 800
435,AXP,Ask,226.46 x 800
436,AXP,Day's Range,225.70 - 231.30 
437,AXP,52 Week Range,140.91 - 244.41 
438,AXP,Volume,"969,737 "
439,AXP,Avg. Volume,"2,858,114 "
440,AXP,Market Cap (intraday),162.901B 
441,AXP,Beta (5Y Monthly),1.22
442,AXP,PE Ratio (TTM),18.67 
443,AXP,EPS (TTM),12.13 
444,AXP,Earnings Date,"Jul 19, 2024 - Jul 23, 2024"
445,AXP,Forward Dividend & Yield,2.80 (1.20%)
446,AXP,Ex-Dividend Date,"Jul 5, 2024"
447,AXP,1y Target Est,219.52 
448,AIG,Previous Close,76.02 
449,AIG,Open,75.57 
450,AIG,Bid,75.02 x 900
451,AIG,Ask,75.08 x 900
452,AIG,Day's Range,74.29 - 75.66 
453,AIG,52 Week Range,54.84 - 80.83 
454,AIG,Volume,"210,403 "
455,AIG,Avg. Volume,"4,011,688 "
456,AIG,Market Cap (intraday),49.36B 
457,AIG,Beta (5Y Monthly),1.09
458,AIG,PE Ratio (TTM),11.12 
459,AIG,EPS (TTM),6.69 
460,AIG,Earnings Date,"Jul 30, 2024 - Aug 5, 2024"
461,AIG,Forward Dividend & Yield,1.60 (2.10%)
462,AIG,Ex-Dividend Date,"Jun 14, 2024"
463,AIG,1y Target Est,85.00 
464,AMT,Previous Close,198.19 
465,AMT,Open,198.00 
466,AMT,Bid,--
467,AMT,Ask,--
468,AMT,Day's Range,196.76 - 199.04 
469,AMT,52 Week Range,154.58 - 219.10 
470,AMT,Volume,"198,993 "
471,AMT,Avg. Volume,"2,499,730 "
472,AMT,Market Cap (intraday),92.48B 
473,AMT,Beta (5Y Monthly),0.79
474,AMT,PE Ratio (TTM),44.81 
475,AMT,EPS (TTM),4.42 
476,AMT,Earnings Date,"Jul 25, 2024 - Jul 29, 2024"
477,AMT,Forward Dividend & Yield,6.48 (3.27%)
478,AMT,Ex-Dividend Date,"Jun 14, 2024"
479,AMT,1y Target Est,222.94 
480,AWK,Previous Close,128.25 
481,AWK,Open,128.00 
482,AWK,Bid,--
483,AWK,Ask,--
484,AWK,Day's Range,127.33 - 128.85 
485,AWK,52 Week Range,113.34 - 151.22 
486,AWK,Volume,"1,185,136 "
487,AWK,Avg. Volume,"1,442,857 "
488,AWK,Market Cap (intraday),25.046B 
489,AWK,Beta (5Y Monthly),0.67
490,AWK,PE Ratio (TTM),26.02 
491,AWK,EPS (TTM),4.94 
492,AWK,Earnings Date,"Jul 31, 2024"
493,AWK,Forward Dividend & Yield,3.06 (2.38%)
494,AWK,Ex-Dividend Date,"May 13, 2024"
495,AWK,1y Target Est,140.52 
496,AMGN,Previous Close,305.02 
497,AMGN,Open,304.55 
498,AMGN,Bid,304.53 x 100
499,AMGN,Ask,304.66 x 100
500,AMGN,Day's Range,300.93 - 305.53 
501,AMGN,52 Week Range,216.93 - 329.72 
502,AMGN,Volume,"1,989,396 "
503,AMGN,Avg. Volume,"2,604,873 "
504,AMGN,Market Cap (intraday),163.462B 
505,AMGN,Beta (5Y Monthly),0.60
506,AMGN,PE Ratio (TTM),43.47 
507,AMGN,EPS (TTM),7.01 
508,AMGN,Earnings Date,"Aug 1, 2024 - Aug 5, 2024"
509,AMGN,Forward Dividend & Yield,9.00 (2.95%)
510,AMGN,Ex-Dividend Date,"May 16, 2024"
511,AMGN,1y Target Est,318.55 
512,APH,Previous Close,130.64 
513,APH,Open,130.12 
514,APH,Bid,--
515,APH,Ask,--
516,APH,Day's Range,130.06 - 134.05 
517,APH,52 Week Range,78.68 - 138.59 
518,APH,Volume,"2,710,150 "
519,APH,Avg. Volume,"3,499,546 "
520,APH,Market Cap (intraday),80.385B 
521,APH,Beta (5Y Monthly),1.26
522,APH,PE Ratio (TTM),40.93 
523,APH,EPS (TTM),3.27 
524,APH,Earnings Date,"Jul 24, 2024"
525,APH,Forward Dividend & Yield,0.88 (0.66%)
526,APH,Ex-Dividend Date,"Jun 18, 2024"
527,APH,1y Target Est,136.52 
528,ADI,Previous Close,237.41 
529,ADI,Open,236.05 
530,ADI,Bid,234.67 x 100
531,ADI,Ask,234.81 x 100
532,ADI,Day's Range,233.27 - 237.61 
533,ADI,52 Week Range,154.99 - 241.88 
534,ADI,Volume,"2,203,357 "
535,ADI,Avg. Volume,"3,324,998 "
536,ADI,Market Cap (intraday),116.497B 
537,ADI,Beta (5Y Monthly),1.12
538,ADI,PE Ratio (TTM),54.98 
539,ADI,EPS (TTM),4.27 
540,ADI,Earnings Date,"Aug 21, 2024 - Aug 26, 2024"
541,ADI,Forward Dividend & Yield,3.68 (1.57%)
542,ADI,Ex-Dividend Date,"Jun 4, 2024"
543,ADI,1y Target Est,254.27 
544,ANSS,Previous Close,323.31 
545,ANSS,Open,321.23 
546,ANSS,Bid,319.96 x 100
547,ANSS,Ask,322.49 x 100
548,ANSS,Day's Range,320.42 - 323.65 
549,ANSS,52 Week Range,258.01 - 364.31 
550,ANSS,Volume,"49,549 "
551,ANSS,Avg. Volume,"421,861 "
552,ANSS,Market Cap (intraday),28.016B 
553,ANSS,Beta (5Y Monthly),1.13
554,ANSS,PE Ratio (TTM),64.44 
555,ANSS,EPS (TTM),4.98 
